名称,住所,営業日,電話番号
個室＆パーティー カラオケ７４７ 渋谷本店,〒150-0043 東京都渋谷区道玄坂1-7-1 第1渋観ビル2F,月～日 18:00～翌5:00,050-3468-4159
PUBLIC HOUSE 渋谷店,〒150-0002 東京都渋谷区渋谷3-29-17 HOTEL METS SHIBUYA3F,"月～金 朝食：7:00～10:00(10：00~11：00は閉店となります。)、カフェ・ディナー：11:00～22:00(当面の間、営業時間が変動する場合がございます。店舗までお問合せ下さい。)
土・日・祝 7:00～10:00(当面の間、営業時間が変動する場合がございます。店舗までお問合せ下さい。)",050-3460-8035
呑ん処 二〇九 渋谷,〒150-0043 東京都渋谷区道玄坂2-9-10 松本ビル1F,"月～金 17:00～翌5:00
土 15:00～翌5:00
日 15:00～24:00",050-3374-4201
ひつじもん 渋谷店,〒150-0002 東京都渋谷区渋谷3-15-8 並木橋ビル2F,"月～土 17:00～翌3:00
日・祝日 17:00～24:00",050-3313-4836
夜パフェ専門店 Parfaiteria beL,〒150-0043 東京都渋谷区道玄坂1-7-10 新大宗ソシアルビル3F,"月～木 17:00～24:00(L.O.23:30)(ご予約はお電話で20時まで可能です。)
金・祝前日 17:00～翌1:00(L.O.24:30)(ご予約はお電話で20時まで可能です。)
土 15:00～翌1:00(L.O.24:30)
日・祝日 15:00～24:00(L.O.23:30)",050-3312-7260
ネパール レストラン カンティプール,〒150-0031 東京都渋谷区桜丘町16-6," 17:00～24:00(L.O.23:00、ドリンクL.O.23:00)
月～日・祝前日・祝日 11:00～16:00(L.O.15:30、ドリンクL.O.15:30)",050-3312-9669
らーめん はやし,〒150-0043 東京都渋谷区道玄坂1-14-9 ソシアル道玄坂1F, 11:30～15:30(※スープがなくなり次第終了),050-3374-0607
バースデーサプライズ×貸切ダイニング 渋谷 cafe croix,〒150-0002 東京都渋谷区渋谷3-18-5 佐藤エステートビル8F,"月～金 ランチ：12:00～16:00(土日祝のお昼のお時間はグランドメニューでのご案内になります。)
月～日・祝前日・祝日 12:00～22:00(L.O.21:00、ドリンクL.O.21:30)(16時～18時はドリンクタイムになります。フードのオーダーができませんのでご注意ください。  貸切パーティーのみ深夜も承ります！)",03-3409-3736
ワインの酒場。 ディプント 渋谷神南店,〒150-0041 東京都渋谷区神南1-20-17-B1,"金・祝前日 ディナー：17:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)
月～木 ディナー：17:00～翌3:00(L.O.2:00、ドリンクL.O.2:30)
土 ディナー：12:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)
日・祝日 ディナー：12:00～23:00(L.O.22:00、ドリンクL.O.22:30)",050-3462-5119
Cafe＆Dining ballo ballo 渋谷店,〒150-0042 東京都渋谷区宇田川町12-18 東急ハンズB1,"月～木・日・祝日 ランチ・ディナー：11:45～23:30(L.O.22:30、ドリンクL.O.23:00)
金・土・祝前日 ランチ・ディナー：11:45～23:45(L.O.22:30、ドリンクL.O.23:00)",050-3462-5589
悟空,〒105-0043 東京都渋谷区道玄坂2-29-13 若槻ビル2F,"月～金 ランチ：11:30～15:30(L.O.15:30)、ディナー：17:30～23:30(L.O.23:00)
土・祝日 ランチ：11:30～15:30(L.O.15:30)
土・祝日 ディナー：17:30～23:00(L.O.22:30)(※状況により閉店時間が変更となる場合がございます。)",050-3477-0505
七志らーめん 渋谷道玄坂店,〒150-0043 東京都渋谷区道玄坂2-9-10,"月～木・日 11:00～翌1:00
金・土・祝前日 11:00～翌6:00",050-3491-7571
BBQダイニング 渋谷ガーデンホール,〒150-0043 東京都渋谷区道玄坂1-7-10 新大宗ソシアルビル4F,月～日 11:00～翌5:00(L.O.4:30),050-3467-2861
BBQグリル 渋谷ガーデンパティオ,〒150-0043 東京都渋谷区道玄坂1-7-10 新大宗ソシアルビル6F, 11:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(24時以降は貸切のみのご案内(要予約)),050-3466-1103
Irish Pub＆RestaurantFailte,〒150-0043 東京都渋谷区道玄坂1-5-2 渋谷SEDEビル5F,"月～金 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
土・日・祝 15:00～23:00(L.O.22:00、ドリンクL.O.22:30)",050-3468-2567
和牛焼肉食べ放題 肉屋の台所 渋谷道玄坂店,〒150-0043 東京都渋谷区道玄坂2-25-17 カスミビル3F, 16:00～24:00(L.O.23:30),050-3468-9586
牡蠣＆肉バル DELICIOUS～デリシャス～ 渋谷,〒150-0044 東京都渋谷区円山町22-12 ウノビル,"月～木・祝日 17:00～翌3:00(L.O.2:00)
金・土・祝前日 17:00～翌5:00(L.O.4:00)(※12/31〜1/5まで正月休みです。)",03-6809-0690
完全貸切×個室 パーティースペース Bar CUORE（クオーレ）渋谷,〒150-0043 東京都渋谷区道玄坂1-7-1 渋谷グローリアビル3F, 12:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(昼宴会も毎日承っております。※昼間のご宴会は基本予約制になります。),050-3468-4313
焼き鳥 南蛮亭 渋谷ハチ公口店,〒150-0041 東京都渋谷区神南1-22-7 岩本ビル2F,"月～金 14:00～23:30(L.O.22:00、ドリンクL.O.22:30)
土・日・祝 12:00～23:30(L.O.22:00、ドリンクL.O.22:30)",050-3467-3678
GROVE 渋谷店,〒150-0002 東京都渋谷区渋谷2-19-17 4F,月～日・祝前日・祝日 18:00～翌5:00(L.O.3:30、ドリンクL.O.4:30),050-3477-7538
鶏料理専門店×個室 とりかく 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-13-7 ヒューリック渋谷ビルB1,"月～土・祝前日 17:00～23:30(L.O.22:45、ドリンクL.O.23:00)
日・祝日 16:30～22:30(L.O.21:45、ドリンクL.O.22:00)(  営業時間外のご宴会承ります！テーブル個室、お座敷掘りごたつ個室多数ございますので、お客様の人数に合わせたお部屋をご用意。同窓会や会食、各種お集まりに貸切で営業致します。ご希望のお客様がいらっしゃいましたら当店スタッフまで気軽にお問い合わせ下さい。ご予算・お料理の内容など出来る限り、お客様のご要望にお応え致します。)",050-3466-1825
本格わら焼きダイニング 煌煌庵‐きらきらあん‐ 渋谷総本店,〒150-0002 東京都渋谷区渋谷1-13-5 大協渋谷ビル7F,"月～金 ランチ：11:30～15:00(L.O.14:30、ドリンクL.O.14:30)
月～金・祝前日 ディナー：17:00～22:00(L.O.21:00、ドリンクL.O.21:30)",050-3464-0159
BBQダイニング 渋谷ガーデンスペース道玄坂店,〒150-0043 東京都渋谷区道玄坂2-9-10 松本ビル7F, 11:00～翌5:00(L.O.4:30)(ホームページはこちら（コピペ）  https://gardenspacedougenzaka.owst.jp/),050-3491-3363
産直青魚専門 渋谷 御厨（みくりや）,〒150-0002 東京都渋谷区渋谷1-6-8 渋谷井上ビルB1,"月～土 ディナー：17:00～23:00(L.O.22:00、ドリンクL.O.22:30)(ディナータイムに定食利用も可能です。)
月～土 ランチ：11:30～15:00(L.O.14:30)",050-3467-4908
韓国料理スランジェ 渋谷ヒカリエ,〒150-8509 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ6F,月～日 11:00～22:00(L.O.21:00、ドリンクL.O.21:00),03-6434-1465
てっぺん 渋谷 女道場,〒150-0042 東京都渋谷区宇田川町41-23,月～日 17:00～24:00,050-3463-2916
Bistro Baru De salita,〒150-0043 東京都渋谷区道玄坂2-10-7 新大宗ビル2-1F,"月～金 ランチ：11:30～14:30(L.O.14:00)((祝日は除く))
月～木・日 ディナー：17:00～翌1:00(L.O.24:00、ドリンクL.O.24:30)
金・土・祝前日 17:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(緊急事態宣言を受け当面の営業時間を変更させていただいております。  《月～日 11：30～14：30／17：00～24：00》ご来店の際はお問い合わせを頂けましたら幸いです。)",050-3476-6755
イタリアンバル渋谷 8528（ハコニワ）,〒150-0042 東京都渋谷区宇田川町33-13 楠原ビル4F,"月～金 ディナー：17:00～22:00(L.O.21:00、ドリンクL.O.21:20)
月～金・祝前日 ランチ・カフェ：11:30～17:00(オープンから14:30まではランチパスタセットのみのご提供です。  14:30〜17:00はカフェ利用可)
土・日・祝 ランチ・カフェ：12:00～17:00、ディナー：17:00～22:00(L.O.21:00、ドリンクL.O.21:20)",050-3462-8514
goo ITALIANO グーイタリアーノ 渋谷本店,〒150-0002 東京都渋谷区渋谷1-11-3 第一小山ビル1F, 11:30～23:00(L.O.22:00、ドリンクL.O.22:30),050-3469-8063
博多野菜巻き串 餃子 芋蔵渋谷店,〒150-0002 東京都渋谷区渋谷3-27-11 GEMS渋谷B1,"月～金 17:30～翌3:00(L.O.2:00、ドリンクL.O.2:30)
土 17:30～23:00(L.O.22:00、ドリンクL.O.22:30)(【17:00～予約したい！】【貸切りしたい！】などなどできる限り対応させて頂きます！お気軽にお申し付け下さい☆)",050-3477-9398
隠れ家個室 鍋之進 渋谷,〒150-0043 東京都渋谷区道玄坂1-5-2 渋谷SEDE3F, 16:00～23:30(L.O.22:30),050-3464-2929
完全個室居酒屋 座楽 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル3F," 11:00～24:00(コロナウイルス感染症対策の東京都ロードマップに則り、営業時間を上記の時間までとさせて頂きます。  何卒ご了承くださいませ。)
月～木 13:00～24:00
金・土・祝前日 13:00～翌4:00
日 13:00～23:30",050-3476-7983
串天ぷらと鍋料理 日本酒原価酒蔵 渋谷宇田川町店,〒150-0042 東京都渋谷区宇田川町16-8 渋谷センタービルB1,"月～金 ディナー：14:00～23:00(L.O.22:00、ドリンクL.O.22:20)(お店の状況によりラストオーダー等早まる場合があります。予めご了承ください。)
土・祝前日 ディナー：14:00～23:00(L.O.22:00、ドリンクL.O.22:20)(お店の状況によりラストオーダー等早まる場合があります。予めご了承ください。)
日・祝日 ディナー：14:00～23:00(L.O.22:00、ドリンクL.O.22:20)(お店の状況によりラストオーダー等早まる場合があります。予めご了承ください。)",050-3313-3643
居酒屋 土間土間 渋谷文化村通り109前店,〒150-0042 東京都渋谷区宇田川町26-2 サンルイビル6F, 16:00～翌5:00(L.O.4:00、ドリンクL.O.4:30)(毎日元気に朝まで営業中!!OPEN16：00～CLOSE29：00),050-3467-9806
オーガニック＆レストラン BiOcafe（ビオカフェ）,〒150-0042 東京都渋谷区宇田川町16-14 パティオI 1F, ランチ：11:00～16:00(L.O.15:30)、カフェ：11:00～18:00、ディナー：18:00～23:00(L.O.22:00、ドリンクL.O.22:00),050-3467-6300
和牛焼肉食べ放題 肉屋の台所 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-25-6 パークサイド共同ビル5F, ディナー：16:00～23:00,050-3468-4574
渋谷道玄坂 熊本居酒屋 新市街,〒150-0043 東京都渋谷区道玄坂1-18-2 ノナカビル1F,月～金 ランチ：11:45～14:30(L.O.14:00)(※ランチのご予約は承っておりません。)、ディナー：18:00～22:00(L.O.21:30、ドリンクL.O.21:30),03-6416-4014
タイガーデン 渋谷店,〒150-0042 東京都渋谷区宇田川町24-10 B1,"月～金 ランチ：11:30～15:00(L.O.14:30)、ディナー：17:00～23:00
土・日・祝 ランチ：11:30～17:00(L.O.16:30)、ディナー：17:00～23:00",050-3477-4324
わっはっはっ風月 渋谷店,〒150-0002 東京都渋谷区渋谷1-15-19 双葉ビル3F, ランチ：11:30～15:00(L.O.14:30、ドリンクL.O.14:30)、ディナー：17:00～23:30(L.O.22:00、ドリンクL.O.22:30)(■9/16より通常通りの営業時間となります。  当面の間、状況に応じて閉店時間を変更させていただく場合がございます。ご理解、ご協力の程宜しくお願いします。),050-3462-1081
くいもの屋わん 渋谷スペイン坂店,〒150-0042 東京都渋谷区宇田川町13-7 コヤスワン5F,"月～木・日・祝日 17:00～24:00(L.O.23:30、ドリンクL.O.23:30)
金・土・祝前日 17:00～翌1:00(L.O.24:30、ドリンクL.O.24:30)",050-3466-3895
渋谷 貸切 パーティ アイコン【ICON】,〒150-0043 東京都渋谷区道玄坂2-23-12 フォンティスビル3F,月～日 10:00～24:00(渋谷での貸切パーティーならアイコンで♪  貸切パーティーについての金額の相談、日程・お時間の相談など随時受け付けております。),050-3463-1519
ハノイのホイさん,〒150-0031 東京都渋谷区桜丘町17-6 協栄ビル1F,"月～土 ランチ：11:30～15:30(L.O.15:00、ドリンクL.O.15:00)(※ランチタイムのご予約はコース料理（2500円）のみとなります（土・祝限定）。)
月～土 ディナー：17:30～22:00(L.O.21:30、ドリンクL.O.21:30)(2020/３/９より当面の間、上記、営業時間とさせていただきます。)",03-3464-8450
うなぎ 徳 渋谷店,〒150-0002 東京都渋谷区渋谷2-21-1 渋谷ヒカリエ6F,月～日 11:00～22:00(L.O.21:00),050-3477-7262
渋ドラ（シブドラ）,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビルB1,"月～木 ディナー：17:00～24:30(L.O.23:30、ドリンクL.O.23:30)
金・土・祝前日 ディナー：17:00～翌1:00(L.O.24:00、ドリンクL.O.24:00)
日・祝日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:00)",050-3374-5371
渋谷 ビアガーデン＆BBQ H2【エイチツー】,〒150-0043 東京都渋谷区道玄坂2-8-5 DMビル 5F, 12:00～翌5:00,050-3373-0273
霧乃個室 清郎 渋谷,〒150-0041 東京都渋谷区神南1-20-16 高山ランドビルB2, 16:00～23:30(L.O.22:30、ドリンクL.O.23:00),050-3477-9268
全席個室 ウメ子の家 渋谷公園通店,〒150-0041 東京都渋谷区神南1-20-5 VORT渋谷kaleido7F,"月～金 17:00～23:30
土・日・祝 16:00～23:30(※営業時間前も宴会可能！(早割・遅割特典有)  ※諸般の事情により、営業時間を変更させていただく事がございます。詳細はお電話にてお問合せくださいませ。)",050-3462-0549
全席個室 楽蔵うたげ 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-24-12 渋谷東映プラザ6F,"月～金・日・祝前日・祝日 17:00～23:30
土 16:00～23:30(※営業時間前も宴会可能！(早割・遅割特典有)  ※諸般の事情により、営業時間を変更させていただく事がございます。詳細はお電話にてお問合せくださいませ。)",050-3468-5343
串カツあらた 渋谷パルコ店,〒150-8377 東京都渋谷区宇田川町15-1 渋谷PARCOヒューリックビルB1F, ランチ：11:00～16:00(ランチタイムはランチ限定メニューのご提供です。)、ディナー：16:00～23:00(L.O.22:45)(※6/1より営業再開致します！営業時間は【ランチ】11時30分～16時 【ディナー】16時～22時（L.O.21時30分 ドリンクL.O.21時45分）となりますので、ご理解・ご協力のほどよろしくお願いいたします。),050-3466-2458
完全貸切パーティ会場 カーサアスティオン／クラブマルヤマ59,〒150-0044 東京都渋谷区円山町7-9 PRIOR円山B1, 12:00～24:59(パーティ時間に合わせて深夜も営業  ※予約問合せは22時迄※),050-3467-5260
山城屋庄藏,〒150-0043 東京都渋谷区道玄坂2-6-4 熊谷商店ビル2F,"月～日 ランチ：12:00～15:00(L.O.14:00)
月～日 ディナー：17:00～23:00(L.O.21:30)(※15:00〜17:00の間でも希望の時間があれば御予約を承っております。)",050-3490-8678
完全個室名古屋コーチン専門店 官兵衛 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-25-6 渋谷パークサイド共同ビル4F, 16:00～24:00,050-3491-2575
卓球酒場 ぽん蔵 渋谷2号店,〒150-0041 東京都渋谷区神南1-22-7 岩本ビル8F," ランチ：12:00～15:00、カフェ：15:00～17:00
月～木・日 ディナー：17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
金・土・祝前日 ディナー：17:00～翌5:00(L.O.23:00、ドリンクL.O.4:00)(  ※営業時間を変更させていただく場合がございます。詳しくは店舗までお問い合わせください。)",050-3467-5988
デルタ 渋谷店,〒150-0042 東京都渋谷区宇田川町13-8 ちとせ会館3F, 17:00～翌5:00(ドリンクL.O.4:30),050-3460-8146
大衆酒場×食べ放題 ぶっちぎり酒場 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-12-1 カレイド渋谷宮益坂6F,"月～木・土・日 17:00～24:00
金 17:00～翌5:00",050-3462-0820
北の味紀行と地酒　北海道 渋谷駅前店,〒150-0002 東京都渋谷区渋谷1-24-10 渋谷全線座ビル3F,"月～金 ランチ：11:30～14:30(L.O.14:00)(※祝日除く)
月～木・日・祝日 ディナー：16:00～24:00(L.O.23:30)
金・土・祝前日 ディナー：16:00～翌5:00(L.O.4:30)(※22時以降は深夜料金として10％別途頂戴いたします。  ※営業時間は変更になる場合がございます。詳細は店舗までお問合せください。)",050-3477-1448
やきとり○金 渋谷センター街店,〒150-0042 東京都渋谷区宇田川町28-15 サンマルジェビル5F,月～日 16:00～24:00(L.O.23:00)(  ※状況により営業時間変更する場合がございます。),03-5428-8390
げんかや 渋谷センター街店,〒150-0042 東京都渋谷区宇田川町30-3 アトラス渋谷4F,月～日 17:00～翌4:00(金、土、祝前日は翌5:00まで営業しております。(L.O.4:00)),03-3780-8026
ビストロ・ヴァンテオ,〒150-0043 東京都渋谷区道玄坂1-14-9 ソシアル道玄坂101,"月～金 ランチ：12:00～14:00(L.O.13:30)
月～土 ディナー：18:00～24:00(L.O.23:00)",050-3463-1984
寿しの いく味,〒150-0002 東京都渋谷区渋谷1-7-1 渋谷S-6ビル1F,"月～金 ディナー：15:00～23:30(L.O.23:00)、ランチ：11:30～15:00(L.O.14:30)
土 ディナー：17:00～23:15(L.O.22:30、ドリンクL.O.22:45)",050-3466-7143
kawara CAFE＆DINING 宇田川店,〒150-0042 東京都渋谷区宇田川町36-6 ワールド宇田川ビル2F, ランチ・ディナー：11:45～24:00(L.O.22:30、ドリンクL.O.23:00),050-3468-1620
千両,〒150-0043 東京都渋谷区道玄坂1-6-6,月～土 17:00～23:45(L.O.23:00),03-3476-4634
Club camelot 【クラブ キャメロット】,〒150-0041 東京都渋谷区神南1-18-2 神南坂FRAME B2・B3,月～日 10:00～24:00,050-3494-6573
肉とチーズ SAKURA GARDEN 渋谷本店,〒150-0042 東京都渋谷区宇田川町30-5 JOWビル5F, 12:00～24:00(L.O.23:30、ドリンクL.O.23:30)(10名様以上のご予約であれば、営業時間外のご予約も承ります（お昼の宴会など、お気軽に）),050-3466-9880
えん家 渋谷肉横丁店,〒150-0042 東京都渋谷区宇田川町13-8 ちとせ会館2F,"月～木 ディナー：17:00～翌4:00(L.O.3:30、ドリンクL.O.3:30)
金・土・祝前日 ディナー：17:00～翌5:00(L.O.4:30、ドリンクL.O.4:30)
日・祝日 ディナー：16:00～翌4:00(L.O.3:30、ドリンクL.O.3:30)",050-3373-3411
和牛焼肉食べ放題 牛右衛門 ‐うしえもん‐ 渋谷本店,〒150-0042 東京都渋谷区宇田川町26-11 白馬ビル3F," 16:00～24:00(L.O.23:30、ドリンクL.O.23:30)
土・日 11:30～24:00(L.O.23:30、ドリンクL.O.23:30)",050-3373-4495
肉バル サーロインステーキ食べ放題 COWBOY／和牛男 渋谷本店,〒150-0042 東京都渋谷区宇田川町13-16 コクサイビルA館3F, 11:45～23:00(ランチ  11:45～15:00注:ランチタイムはカレーライスのみの提供となります  ディナー 16:00～23:00),050-3463-8161
全席個室居酒屋 月の夢 渋谷駅前店,〒150-0042 東京都渋谷区宇田川町26-4 Lu’82ビル7F, ディナー：17:00～23:30(L.O.23:00),050-3373-3364
